2020-09-30 13:12:01,600 INFO  [org.jboss.modules] (main) JBoss Modules version 1.10.1.Final
2020-09-30 13:12:03,353 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.11.Final
2020-09-30 13:12:03,426 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.3.Final
2020-09-30 13:12:03,821 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Full 20.0.1.Final (WildFly Core 12.0.3.Final) starting
2020-09-30 13:12:07,094 INFO  [org.wildfly.security] (Host Controller Service Threads - 4) ELY00001: WildFly Elytron version 1.12.1.Final
2020-09-30 13:12:08,893 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-09-30 13:12:09,225 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2020-09-30 13:12:09,404 INFO  [org.xnio] (MSC service thread 1-7) XNIO version 3.8.1.Final
2020-09-30 13:12:09,480 INFO  [org.xnio.nio] (MSC service thread 1-7) XNIO NIO Implementation Version 3.8.1.Final
2020-09-30 13:12:10,325 INFO  [org.jboss.remoting] (MSC service thread 1-8) JBoss Remoting version 5.0.18.Final
2020-09-30 13:12:10,585 INFO  [org.jboss.as.patching] (MSC service thread 1-2) WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none
2020-09-30 13:12:10,769 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-6) WFLYDM0111: Keystore /opt/jboss/wildfly/domain/configuration/application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2020-09-30 13:12:16,644 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=default/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-09-30 13:12:16,719 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-09-30 13:12:16,797 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-09-30 13:12:16,891 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full-ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-09-30 13:12:17,701 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://192.168.1.10:9990/management and https://192.168.1.10:-1/management
2020-09-30 13:12:17,702 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://192.168.1.10:9990 and https://192.168.1.10:-1
2020-09-30 13:12:17,806 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 20.0.1.Final (WildFly Core 12.0.3.Final) (Host Controller) started in 18506ms - Started 80 of 81 services (24 services are lazy, passive or on-demand)
2020-09-30 13:12:27,101 INFO  [org.jboss.as.domain.controller] (Host Controller Service Threads - 37) WFLYHC0019: Registered remote slave host "node1", JBoss WildFly Full 20.0.1.Final (WildFly 12.0.3.Final)
2020-09-30 13:12:27,237 INFO  [org.jboss.as.domain.controller] (Host Controller Service Threads - 31) WFLYHC0019: Registered remote slave host "proxy", JBoss WildFly Full 20.0.1.Final (WildFly 12.0.3.Final)
2020-09-30 13:12:27,360 INFO  [org.jboss.as.domain.controller] (Host Controller Service Threads - 27) WFLYHC0019: Registered remote slave host "node2", JBoss WildFly Full 20.0.1.Final (WildFly 12.0.3.Final)
2020-09-30 13:12:53,328 INFO  [org.jboss.as.domain.controller] (management task-2) WFLYHC0026: Unregistered remote slave host "node1"
2020-09-30 13:12:53,381 INFO  [org.jboss.as.domain.controller] (management task-2) WFLYHC0026: Unregistered remote slave host "node2"
2020-09-30 13:12:54,282 INFO  [org.jboss.as.domain.controller] (management task-2) WFLYHC0026: Unregistered remote slave host "proxy"
2020-09-30 13:12:55,126 INFO  [org.jboss.as.host.controller] (main) WFLYHC0179: ProcessController has signalled to shut down; shutting down
2020-09-30 13:12:55,188 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0050: WildFly Full 20.0.1.Final (WildFly Core 12.0.3.Final) stopped in 47ms
